date,title,description,type,*
2023-02-2 13:28:55,Utilisateur,Suppression de l'utilisateur <b>Luke Davis</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 13:36:05,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:36:05,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:36:05,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:36:05,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:36:05,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:36:17,Utilisateur,Suppression de l'utilisateur <b>John Doe</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:36:18,Utilisateur,Suppression de l'utilisateur <b>Jane Smith</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:36:18,Utilisateur,Suppression de l'utilisateur <b>Bob Johnson</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:36:19,Utilisateur,Suppression de l'utilisateur <b>Emma Brown</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:36:19,Utilisateur,Suppression de l'utilisateur <b>Luke Davis</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:54:48,Active Directory,Déconnexion de l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,deconnexion,*
2023-02-2 14:07:07,Active Directory,Connexion à l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-2 14:07:09,Active Directory,Déconnexion de l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,deconnexion,*
2023-02-2 14:07:21,Active Directory,Connexion à l'active directory depuis un fichier JSON à <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateurX</b>,connexion,*
2023-02-2 14:07:36,Active Directory,Connexion à l'active directory depuis un fichier JSON à <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-2 14:08:24,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 14:08:24,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 14:08:24,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 14:08:24,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 14:08:24,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 14:09:34,Utilisateur,Suppression de l'utilisateur <b>John Doe</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 14:09:35,Utilisateur,Suppression de l'utilisateur <b>Jane Smith</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 14:09:36,Utilisateur,Suppression de l'utilisateur <b>Bob Johnson</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 14:09:36,Utilisateur,Suppression de l'utilisateur <b>Emma Brown</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 14:09:37,Utilisateur,Suppression de l'utilisateur <b>Luke Davis</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-7 14:03:24,Active Directory,Connexion à l'active directory depuis un fichier JSON à <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-7 14:06:37,Unité d'Organisation,Ajout de l'unité d'organisation <b>Test</b>,addOU,*
2023-02-7 14:06:40,Unité d'Organisation,Suppression de l'unité d'organisation <b>Test</b>,deleteOU,*
2023-02-7 14:07:31,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Eponia,addUser,*
2023-02-7 14:07:31,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Eponia,addUser,*
2023-02-7 14:07:31,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Eponia,addUser,*
2023-02-7 14:07:31,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Eponia,addUser,*
2023-02-7 14:07:31,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Eponia,addUser,*
2023-02-7 14:10:20,Active Directory,Déconnexion de l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,deconnexion,*
2023-02-7 14:10:25,Active Directory,Connexion à l'active directory depuis un fichier JSON à <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
